acciaio|steel|acier|stahl|acero
livello|level|niveau|ebene|nivel
vendere|sell|vendre|verkaufen|vender
girare|round|rond|runden|redondo
scarpe|shoes|chaussures|schuhe|zapatos
immagine|picture|image|bild|imagen
calore|heat|chaleur|hitze|calor
parola|word|mot|wort|palabra
ufficio|office|bureau|b&#252;ro|oficina
molti|many|beaucoup|viele|muchos
tra|among|parmi|unter|entre
erano|were|&#233;taient|war|eran
giro|turn|tourner|drehen|doblar
crescere|grow|grandir|wachsen|crecer
paio|pair|paire|paar|par
quasi|almost|presque|fast|casi
questione|matter|mati&#232;re|gegenstand|asunto
avanti|ahead|devant|voraus|adelante
presidenti|presidents|pr&#233;sidents|pr&#228;sidenten|presidentes
misurare|size|taille|gr&#246;&#223;e|tama&#241;o
fratello|brother|fr&#232;re|bruder|hermano
posto|place|lieu|ort|lugar
affilato|sharp|pointu|scharf|afilado
sillabe|syllables|syllabes|silben|s&#237;labas
lavoro|work|travail|arbeiten|trabajar
risposta|answer|r&#233;pondre|antwort|respuesta
nato|born|n&#233;|geboren|nacido
mucche|cows|vaches|k&#252;he|vacas
quando|when|quand|wann|cuando
vestito|dress|robe|kleid|vestido
storia|history|histoire|geschichte|historia
gambe|legs|jambes|beine|piernas
riposo|rest|repos|ausruhen|descansar
guidare|drive|conduire|fahren|conducir
volere|want|vouloir|wollen|desear
appena|just|juste|nur|justo
grande|great|super|gro&#223;artig|excelente
roccia|rock|rocher|felsen|roca
fattori|factors|facteurs|faktoren|factores
filo|wire|fil|draht|cable
buco|hole|trou|loch|agujero
mancare|miss|manquer|vermissen|extra&#241;ar
umano|human|humain|menschlich|humano
bicchiere|glass|verre|glas|vaso
strada|road|route|stra&#223;e|camino
primo|first|d'abord|erste|primero
porta|door|porte|t&#252;r|puerta
quattro|four|quatre|vier|cuatro
silenzioso|silent|silencieux|still|silencioso
ricco|rich|riche|reich|rico
rami|branches|succursales|filialen|sucursales
canzone|song|chanson|lied|canci&#243;n
cavallo|horse|cheval|pferd|caballo
dritto|straight|droit|gerade|derecho
cortile|yard|cour|hof|patio
dizionario|dictionary|dictionnaire|w&#246;rterbuch|diccionario
diviso|divided|divis&#233;|geteilt|dividido
pensiero|thought|pens&#233;e|gedanke|pensamiento
deve|shall|devoir|soll|deber
differenza|difference|diff&#233;rence|unterschied|diferencia
speranza|hope|espoir|hoffnung|esperanza
tavolo|table|tableau|tisch|mesa
dovrebbe|should|devrait|sollen|deber&#237;a
capelli|hair|cheveux|haar|cabello
dita|fingers|doigts|finger|dedos
cartello|sign|signe|zeichen|firmar
unit&#224;|unit|unit&#233;|einheit|unidad
fluire|flow|couler|flie&#223;en|fluir
comune|common|commun|gemeinsam|com&#250;n
o|either|soit|entweder|cualquiera
cantare|sing|chanter|singen|cantar
scala|scale|&#233;chelle|skala|escala
fa|does|fait|tut|hace
molto|very|tr&#232;s|sehr|muy
diverso|different|diff&#233;rent|anders|diferente
uova|eggs|&#339;ufs|eier|huevos
soldati|soldiers|militaires|soldaten|soldados
indicare|indicate|indiquer|angeben|indicar
deserto|desert|d&#233;sert|w&#252;ste|desierto
acqua|water|eau|wasser|agua
senza|without|sans|ohne|sin
foresta|forest|for&#234;t|wald|bosque
mezzo|middle|milieu|mitte|medio
piazza|square|carr&#233;|quadrat|cuadrado
amore|love|amour|liebe|amar
spazio|space|espace|raum|espacio
da|from|depuis|aus|de
guida|lead|plomb|f&#252;hren|dirigir
cucinare|cook|cuisiner|kochen|cocinar
agricoltori|farmers|agriculteurs|landwirte|agricultores
portare|bring|apporter|bringen|traer
allungato|stretched|&#233;tir&#233;|gestreckt|estirado
piatto|flat|plat|wohnung|departamento
bestiame|cattle|b&#233;tail|vieh|ganado
movimento|movement|mouvement|bewegung|movimiento
presa|catch|attraper|fangen|atrapar
greco|greek|grec|griechisch|griego
orecchie|ears|oreilles|ohren|orejas
ascoltare|hear|entendre|h&#246;ren|escuchar
ricevuto|received|re&#231;u|erhalten|recibi&#243;
probabilmente|probably|probablement|wahrscheinlich|probablemente
dichiarazione|statement|d&#233;claration|stellungnahme|declaraci&#243;n
pianta|plant|usine|anlage|planta
effetto|effect|effet|wirkung|efecto
fiori|flowers|fleurs|blumen|flores
gruppo|group|groupe|gruppe|grupo
avere|have|avoir|haben|tener
verso|toward|vers|zu|hacia
oggi|today|aujourd'hui|heute|hoy
disegno|draw|dessiner|ziehen|dibujar
utensili|tools|outils|werkzeuge|herramientas
sorrise|smiled|sourit|l&#228;chelte|sonri&#243;
legna|wood|bois|holz|madera
governo|government|gouvernement|regierung|gobierno
motivo|reason|raison|grund|raz&#243;n
poi|then|alors|dann|entonces
raccolti|crops|cultures|ernten|cultivos
supporre|suppose|supposer|vermuten|suponer
inglese|english|anglais|englisch|ingl&#233;s
vicino|close|fermer|schlie&#223;en|cerca
bisogno|need|besoin|brauchen|necesidad
perduto|lost|perdu|verloren|perdido
marrone|brown|brun|braun|marr&#243;n
pesante|heavy|lourd|schwer|pesado
esercizio|exercise|exercice|&#252;bung|ejercicio
dare|give|donner|geben|dar
tirato|pulled|tir&#233;|gezogen|tirado
latte|milk|lait|milch|leche
modello|pattern|mod&#232;le|muster|patr&#243;n
chiesa|church|&#233;glise|kirche|iglesia
giardino|garden|jardin|garten|jard&#237;n
pollici|inches|pouces|zoll|pulgadas
attuale|current|actuel|aktuell|actual
odore|smell|odeur|geruch|oler
sentito|felt|feutre|gef&#252;hlt|sinti&#243;
casa|home|maison|heim|hogar
contare|count|compter|z&#228;hlen|contar
scorso|last|dernier|zuletzt|&#250;ltimo
qualcuno|someone|quelqu'un|jemand|alguien
sviluppato|developed|d&#233;velopp&#233;|entwickelt|desarrollado
inviare|send|envoyer|schicken|enviar
bellissimo|beautiful|beau|sch&#246;n|hermoso
tocco|touch|touche|ber&#252;hren|tocar
bambini|children|enfants|kinder|ni&#241;os
rappresentare|represent|repr&#233;senter|darstellen|representar
imparare|learn|apprendre|lernen|aprender
camera|room|chambre|zimmer|habitaci&#243;n
cinque|five|cinq|f&#252;nf|cinco
pari|equal|&#233;gal|gleich|igual
corso|course|cours|kurs|curso
prima|before|avant|vor|antes
capace|able|capable|f&#228;hig|capaz
emozionante|exciting|passionnant|spannend|emocionante
esattamente|exactly|exactement|genau|exactamente
capitano|captain|capitaine|kapit&#228;n|capit&#225;n
indovinare|guess|deviner|erraten|adivinar
studio|study|&#233;tude|studie|estudiar
arrivato|arrived|arriv&#233;|angekommen|lleg&#243;
mattina|morning|matin|morgen|ma&#241;ana
profondo|deep|profond|tief|profundo
aereo|plane|avion|flugzeug|avi&#243;n
albero|tree|arbre|baum|&#225;rbol
piede|foot|pied|fu&#223;|pie
ossigeno|oxygen|oxyg&#232;ne|sauerstoff|ox&#237;geno
camminare|walk|marcher|gehen|caminar
dove|where|o&#249;|wo|d&#243;nde
costruire|build|construire|bauen|construir
contro|against|contre|gegen|contra
segno|mark|marque|markieren|marca
piovere|rain|pluie|regen|lluvia
parecchi|several|plusieurs|mehrere|varios
insetti|insects|insectes|insekten|insectos
zio|uncle|oncle|onkel|t&#237;o
costruito|built|construit|gebaut|construido
spalla|shoulder|&#233;paule|schulter|hombro
oceano|ocean|oc&#233;an|ozean|oc&#233;ano
fiume|river|rivi&#232;re|fluss|r&#237;o
elettrico|electric|&#233;lectrique|elektrisch|el&#233;ctrico
misura|measure|mesure|messen|medida
avviso|notice|avis|beachten|aviso
famiglia|family|famille|familie|familia
pronto|ready|pr&#234;t|bereit|listo
cerchio|circle|cercle|kreis|c&#237;rculo
piedi|feet|pieds|f&#252;&#223;e|pies
stampato|printed|imprim&#233;|gedruckt|impreso
spettacolo|show|montrer|zeigen|espect&#225;culo
parlare|speak|parler|sprechen|hablar
situato|located|situ&#233;|gelegen|situado
sicuro|safe|s&#251;r|sicher|seguro
gioco|game|jeu|spiel|juego
isola|island|&#238;le|insel|isla
cibo|food|nourriture|essen|alimento
saltato|jumped|saut&#233;|sprang|salt&#243;
qui|here|ici|hier|aqu&#237;
sera|evening|soir&#233;e|abend|noche
gi&#224;|already|d&#233;j&#224;|bereits|ya
loro|their|leur|ihre|su
scuola|school|&#233;cole|schule|escuela
sensazione|feeling|sentiment|gef&#252;hl|sentimiento
piace|like|comme|wie|como
spinto|pushed|pouss&#233;|geschoben|empujado
dovere|must|doit|muss|debe
vita|life|vie|leben|vida
conosciuto|known|connu|bekannt|conocido
sinistra|left|gauche|links|izquierda
entrato|entered|entr&#233;|eingegeben|entr&#243;
amici|friends|amis|freunde|amigos
confrontare|compare|comparer|vergleichen|comparar
diffusione|spread|propag&#233;|verbreiten|desparramar
ali|wings|ailes|fl&#252;gel|alas
risultato|result|r&#233;sultat|ergebnis|resultado
ore|hours|heures|std.|horas
ruote|wheels|roues|r&#228;der|ruedas
nevicare|snow|neige|schnee|nieve
creare|create|cr&#233;er|erstellen|crear
aiuto|help|aide|helfen|ayuda
sapere|know|savoir|wissen|saber
freddo|cold|froid|kalt|fr&#237;o
alcuni|some|quelques|manche|alguno
equazione|equation|&#233;quation|gleichung|ecuaci&#243;n
in|into|dans|hinein|en
contento|happy|heureux|gl&#252;cklich|feliz
pezzo|piece|morceau|st&#252;ck|pedazo
paura|afraid|effray&#233;|besorgt|asustado
ripetuto|repeated|r&#233;p&#233;t&#233;|wiederholt|repetido
ballare|dance|danse|tanzen|bailar
donna|woman|femme|frau|mujer
coda|tail|queue|schwanz|cola
godere|enjoy|appr&#233;cier|genie&#223;en|disfrutar
poco|little|petit|wenig|peque&#241;o
necessario|necessary|n&#233;cessaire|notwendig|necesario
lavoratori|workers|ouvriers|arbeitnehmer|trabajadores
vela|sail|naviguer|segel|navegar
lontano|away|loin|weg|lejos
bambino|child|enfant|kind|ni&#241;o
meraviglia|wonder|merveille|wunder|preguntarse
aspetto|look|regarder|sehen|mirar
erba|grass|herbe|gras|c&#233;sped
bocca|mouth|bouche|mund|boca
regola|rule|r&#232;gle|regel|regla
legato|tied|li&#233;|gebunden|atado
chiaro|clear|clair|klar|claro
riempito|filled|rempli|gef&#252;llt|completado
deciso|decided|d&#233;cid&#233;|entschieden|decidido
documentazione|record|enregistrer|aufzeichnen|registro
suono|sound|son|klang|sonido
scegliere|choose|choisir|w&#228;hlen|elegir
valore|value|valeur|wert|valor
gratuito|free|gratuit|frei|gratis
figura|figure|chiffre|figur|cifra
cotone|cotton|coton|baumwolle|algod&#243;n
osservare|observe|observer|beobachten|observar
ritorno|return|retour|zur&#252;ckkehren|devolver
semi|seeds|graines|samen|semillas
ossa|bones|os|knochen|huesos
moglie|wife|&#233;pouse|gattin|esposa
